MARKER-FAMILY EXEMPLAR CENSUS  (type 0x6534284A)
generated by tools/research/udriveit/run_census.py
game    : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe
plugins : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins
files scanned (DBPF): 532
exemplars found     : 11118
exemplars parsed OK : 11118
parse failures      : 0

PROPERTY IDS DECODED BY NAME:
  0x00000010  ExemplarType
  0x00000020  ExemplarName
  0x0ABFC024  (seen 0x1C / 0x1E)
  0x27812810  OccupantSize
  0x27812820  ResourceKeyType0
  0x27812821  ResourceKeyType1
  0x27812822  ResourceKeyType2
  0x27812823  ResourceKeyType3
  0x27812824  ResourceKeyType4
  0x27812825  ResourceKeyType5
  0x4A149631  MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5)
  0x8A416A99  ResourceKey {0x2026960B, 0x6A554AFD, inst}
  0xA977A86B  OccupantClassGUID (default 0x2977AA47 = the 0x68-byte marker)
  0xABB90E58  TagKind (Tag1x1x3_* family: 1=Helicopter 2=Helipad_Medical 4=AttackHeli 5=UFO)

====================================================================================================
SECTION 1 - INDEX (group, instance, name, OccupantSize)
====================================================================================================
GROUP      INSTANCE   ARCHIVE  OCCUPANTSIZE   NAME
07BDDF1C   02F10000   SimCity_ {16, 6, 16}    CV16x16_Landfill01_02F1
07BDDF1C   02F90000   SimCity_ {16, 6, 16}    CV16x16_Landfill09_02F9
07BDDF1C   02FA0000   SimCity_ {16, 6, 16}    CV16x16_Landfill10_02FA
07BDDF1C   02FB0000   SimCity_ {16, 6, 16}    CV16x16_Landfill11_02FB
07BDDF1C   030B0000   SimCity_ {31.9, 23, 31.9} CV32x32_4engineStationHouse_030B
07BDDF1C   030B0000   CAM_Maxi {31.9, 23, 31.9} CV32x32_4engineStationHouse_030B
07BDDF1C   030C0000   SimCity_ {24, 16, 24}   CV24X24_4carLocalPrecinct_030C
07BDDF1C   030C0000   CAM_Maxi {24, 16, 24}   CV24X24_4carLocalPrecinct_030C
07BDDF1C   030F0000   SimCity_ {31.9, 45, 28} CV32x28_36carLocalPrecinct_030F
07BDDF1C   030F0000   CAM_Maxi {31.9, 45, 28} CV32x28_36carLocalPrecinct_030F
07BDDF1C   03100000   SimCity_ {12, 17, 14}   CV12x14_2engineStationHouse_0310
07BDDF1C   03100000   CAM_Maxi {12, 17, 14}   CV12x14_2engineStationHouse_0310
07BDDF1C   03110000   SimCity_ {12, 12, 14}   CV12x14_urgentcareclinic_0311
07BDDF1C   03110000   CAM_Maxi {12, 12, 14}   CV12x14_urgentcareclinic_0311
07BDDF1C   03130000   SimCity_ {47.9, 43.84, 47.9} CV44x44_LargeMedicalCenter_0313
07BDDF1C   03130000   CAM_Maxi {47.9, 43.84, 47.9} CV44x44_LargeMedicalCenter_0313
07BDDF1C   03140000   SimCity_ {28, 9, 28}    CV28x28_K-8SmallSchool_0314
07BDDF1C   03140000   CAM_Maxi {28, 9, 28}    CV28x28_K-8SmallSchool_0314
07BDDF1C   03170000   SimCity_ {56, 29, 28}   CV56x28_9-12LargeSchool_0317
07BDDF1C   03170000   CAM_Maxi {56, 29, 28}   CV56x28_9-12LargeSchool_0317
07BDDF1C   03190000   SimCity_ {10, 14, 24}   CV10x24_SmallLibrary_0319
07BDDF1C   03190000   CAM_Maxi {10, 14, 24}   CV10x24_SmallLibrary_0319
07BDDF1C   031C0000   SimCity_ {44, 37, 44}   CV44x44_CityCollege_031C
07BDDF1C   031C0000   CAM_Maxi {44, 37, 44}   CV44x44_CityCollege_031C
