==============================================================================
A. CORPUS-WIDE: ids declared by MORE THAN ONE script instance
==============================================================================
total distinct ids in corpus: 1409 ; multi-script ids: 614
  0x00000000  4 scripts ['PLUGIN:12121205', 'PLUGIN:2a554f6d', 'PLUGIN:9b868f68', 'PLUGIN:aa8b999e']  sizes [(20, 20), (33, 33), (48, 48), (49, 47), (137, 40), (145, 40), (199, 50), (280, 20), (280, 40), (285, 20), (285, 30), (285, 40)]
  0x00000001  11 scripts ['0bbc06b6', '2bb16d50', '2bc90671', '4a5a89d4', '4a5a89d5', '4bbc080f', '69e3d347', 'aa53e3ea', 'abb0120f', 'c973b411', 'e9a56248']  sizes [(12, 12), (16, 16), (72, 15), (74, 16), (100, 100), (130, 30), (180, 30), (190, 17)]
  0x00000002  11 scripts ['0bbc06b6', '2bb16d50', '4a160034', '4a5a89d4', '4a5a89d5', '4bbc080f', '8aa9aa14', 'PLUGIN:8aa9aa14', 'aa1f1f57', 'c973b411', 'cbc905cd']  sizes [(60, 182), (60, 235), (136, 20), (341, 182), (360, 24), (756, 20)]
  0x00000003  7 scripts ['0bbc06b6', '2bb16d50', '4a5a89d4', '4a5a89d5', '4bbc080f', 'aaaaf3d1', 'c9930681']  sizes [(47, 37), (85, 94), (530, 24)]
  0x00000004  5 scripts ['0bbc06b6', '2bb16d50', '4a5a89d4', '4a5a89d5', '4bbc080f']  sizes [(81, 87)]
  0x00000005  5 scripts ['0bbc06b6', '2bb16d50', '4a5a89d4', '4a5a89d5', '4bbc080f']  sizes [(180, 30), (434, 30)]
  0x00000041  2 scripts ['2bc90671', '898897de']  sizes [(24, 24), (34, 35)]
  0x00000102  2 scripts ['cbc3c2b9', 'e9a56248']  sizes [(39, 19), (112, 30)]
  0x00000202  2 scripts ['cbc3c2b9', 'e9a56248']  sizes [(15, 18), (271, 21)]
  0x00000301  2 scripts ['cbc3c2b9', 'e9a56248']  sizes [(39, 39), (120, 18)]
  0x00000302  2 scripts ['cbc3c2b9', 'e9a56248']  sizes [(40, 46), (120, 18)]
  0x00000303  2 scripts ['cbc3c2b9', 'e9a56248']  sizes [(40, 46), (120, 18)]
  0x00000305  2 scripts ['cbc3c2b9', 'e9a56248']  sizes [(40, 46), (120, 18)]
