OriginalFile,TGI,RealFormat,FshInfo,SrcW,SrcH,OutW,OutH,Converted2x,Native2x,Action,Notes
T-856ddbac_G-46a006b0_I-14315e00.png,0x856DDBAC / 0x46A006B0 / 0x14315E00,FSH,dir=G352 n=1 entry='1431' code=0x7D,256,256,512,512,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e00.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e00.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-14315e10.png,0x856DDBAC / 0x46A006B0 / 0x14315E10,FSH,dir=G352 n=1 entry='1431' code=0x7D,256,256,512,512,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e10.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e10.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-14315e20.png,0x856DDBAC / 0x46A006B0 / 0x14315E20,FSH,dir=G352 n=1 entry='1431' code=0x7D,256,256,512,512,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e20.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e20.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-14315e30.png,0x856DDBAC / 0x46A006B0 / 0x14315E30,FSH,dir=G352 n=1 entry='1431' code=0x7D,256,256,512,512,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e30.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e30.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-14315e40.png,0x856DDBAC / 0x46A006B0 / 0x14315E40,FSH,dir=G264 n=1 entry='0000' code=0x7D,256,256,512,512,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e40.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e40.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-14315e50.png,0x856DDBAC / 0x46A006B0 / 0x14315E50,FSH,dir=G264 n=1 entry='0000' code=0x7D,256,256,512,512,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e50.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e50.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-14315e51.png,0x856DDBAC / 0x46A006B0 / 0x14315E51,FSH,dir=G264 n=1 entry='0000' code=0x7D,256,256,512,512,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e51.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x14315e51.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-144161a0.png,0x856DDBAC / 0x46A006B0 / 0x144161A0,FSH,dir=G264 n=1 entry='0000' code=0x7D,64,64,128,128,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x144161a0.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x144161a0.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-144161a1.png,0x856DDBAC / 0x46A006B0 / 0x144161A1,FSH,dir=G264 n=1 entry='0000' code=0x7D,64,64,128,128,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x144161a1.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x144161a1.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-144161a2.png,0x856DDBAC / 0x46A006B0 / 0x144161A2,FSH,dir=G264 n=1 entry='0000' code=0x7D,64,64,128,128,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x144161a2.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x144161a2.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-144161a3.png,0x856DDBAC / 0x46A006B0 / 0x144161A3,FSH,dir=G352 n=1 entry='1441' code=0x7D,64,64,128,128,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x144161a3.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x144161a3.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
T-856ddbac_G-46a006b0_I-2bb12d1f.png,0x856DDBAC / 0x46A006B0 / 0x2BB12D1F,FSH,dir=G352 n=1 entry='2bb1' code=0x7D,64,64,128,128,converted2x\T-0x856ddbac_G-0x46a006b0_I-0x2bb12d1f.png,native2x\T-0x856ddbac_G-0x46a006b0_I-0x2bb12d1f.fsh,2x native FSH code 0x7D (pixel-exact) + 2x PNG,
