--- table at 0x00A8E6D0 [.rdata] 19 entries ---
   0x00A8E6D0  0x00000200  south
   0x00A8E6D8  0x02000000  north
   0x00A8E6E0  0x00000002  east
   0x00A8E6E8  0x00020000  west
   0x00A8E6F0  0x00020200  south-west 90
   0x00A8E6F8  0x02020000  north-west 90
   0x00A8E700  0x02000002  north-east 90
   0x00A8E708  0x00000202  south-east 90
   0x00A8E710  0x02000200  north-south (vertical)
   0x00A8E718  0x00020002  east-west (horizontal)
   0x00A8E720  0x00020202  SEW tee
   0x00A8E728  0x02000202  NSE tee
   0x00A8E730  0x02020002  NEW tee
   0x00A8E738  0x02020200  NSW tee
   0x00A8E740  0x02020202  4-way intersection
   0x00A8E748  0x02040200  NS west side (ave/hwy)
   0x00A8E750  0x02000204  NS east side (ave/hwy)
   0x00A8E758  0x04020002  EW north side (ave/hwy)
   0x00A8E760  0x00020402  EW south side (ave/hwy)
--- table at 0x00AA8458 [.rdata] 13 entries ---
   0x00AA8458  0x0BE08C87  Road
   0x00AA8460  0x00A92054  Highway
   0x00AA8468  0x00A92044  Pipe
   0x00AA8470  0x00AA1B28  Avenue
   0x00AA8478  0x00A92020  LightRail
   0x00AA8480  0x00A92008  OneWayRoad
   0x00AA8488  0x00AA859C  GroundHighway
   0x00AA8490  0x00AA8584  rail
   0x00AA8498  0x00AA8574  street
   0x00AA84A0  0x00AA8564  powerLine
   0x00AA84A8  0x00AA8550  subway
   0x00AA84B0  0x00AA853C  monorail
   0x00AA84B8  0x00AA8520  dirt road
--- table at 0x00ABAD8C [.rdata] 14 entries ---
   0x00ABAD8C  0x00000001  version
   0x00ABAD94  0x00000002  osVersion
   0x00ABAD9C  0x00000003  computerName
   0x00ABADA4  0x00000004  CPU
   0x00ABADAC  0x00000005  sglDriverName
   0x00ABADB4  0x00000006  sglDriverVersion
   0x00ABADBC  0x00000007  driverName
   0x00ABADC4  0x00000008  driverVersion
   0x00ABADCC  0x00000009  cardName
   0x00ABADD4  0x0000000A  cardVersion
   0x00ABADDC  0x0000000B  cardIdentity
   0x00ABADE4  0x0000000C  soundDriverName
   0x00ABADEC  0x0000000D  soundCardName
   0x00ABADF4  0x0000000E  buildType
--- table at 0x00ABAE14 [.rdata] 9 entries ---
   0x00ABAE14  0x00000001  freeMemory
   0x00ABAE1C  0x00000002  screenWidth
   0x00ABAE24  0x00000003  screenHeight
   0x00ABAE2C  0x00000004  screenBPP
   0x00ABAE34  0x00000005  videoMemory
   0x00ABAE3C  0x00000006  textureMemory
   0x00ABAE44  0x00000007  textureStages
   0x00ABAE4C  0x00000008  bogoFPS
   0x00ABAE54  0x00000009  bogoMPPS
--- table at 0x00ABBD44 [.rdata] 14 entries ---
   0x00ABBD44  0x00000001  version
   0x00ABBD4C  0x00000002  osVersion
   0x00ABBD54  0x00000003  computerName
