=== G=8a3858d8 I=031e0000  (701 bytes)  parent={00000000,00000000,00000000}
   0x00000010 ExemplarType         uint32   2
   0x00000020 ExemplarName         string   'RW26x26_HouseWorship_031E'
   0x099AFACD                      sint64   3400
   0x27812810 OccupantSize         float32  26.0,23.0,26.0
   0x27812811                      float32  0.5
   0x27812821 ResourceKeyType1     uint32   0x5AD0E817,0xBADB57F1,0x031E0000
   0x27812832 BuildingValue?       uint8    2
   0x27812840                      uint32   6176,5000
   0x27812841                      uint32   8208,1,8224,3,8240,1,6160,1,6176,3,6192,1
   0x2781284F                      sint32   0,0
   0x27812850                      sint32   70,26
   0x27812851                      sint32   1,1,6,0
   0x27812854                      uint32   7
   0x29244DB5                      uint8    31
   0x2A499F85                      uint32   0xCA8B9AA2
   0x49BEDA31                      uint8    3
   0x49CAC341                      sint64   0
   0x68EE9764                      float32  2.0,3.0,0.0,0.0
   0x6A871B82                      uint32   0x031E0000
   0x8A2602B8                      uint32   0xAA35B0FA
   0x8A2602B9                      uint32   70
   0x8A2602CC                      uint32   8
   0x8A416A99 ResourceKey          uint32   0x2026960B,0x0A554AE0,0x0A5EA6A0
   0xAA1DD396                      uint32   5387,6407
   0xAA1DD397                      uint32   0xCA4C65E0
   0xAA60E745                      float32  -100.0,0.0,100.0,70.0
   0xAA83558F                      uint8    0
   0xC8ED2D84                      uint32   5
   0xC9B93A56                      uint32   0x4A5EC571
   0xCA416AB5                      uint32   0x2026960B,0x0A554AE0,0xEA5EA69F
   0xCA5B9305                      sint32   4,110
   0xEA260589                      uint32   0xCA2B083A
   0xEA2E078B                      uint32   0x8A9ADCB0
   0xEA3209F8                      bool     1
   0xEA54D286                      sint64   0
=== G=8a3858d8 I=031f0000  (717 bytes)  parent={00000000,00000000,00000000}
   0x00000010 ExemplarType         uint32   2
   0x00000020 ExemplarName         string   'RW16x14_MayorsHouse_031F'
   0x099AFACD                      sint64   160
   0x27812810 OccupantSize         float32  15.0,14.0,14.0
   0x27812811                      float32  0.5
   0x27812821 ResourceKeyType1     uint32   0x5AD0E817,0xBADB57F1,0x031F0000
   0x27812832 BuildingValue?       uint8    3
   0x27812841                      uint32   8208,0,8224,2,8240,0,6160,0,6176,2,6192,0
   0x2781284F                      sint32   100,48
   0x27812850                      sint32   100,48
