file      : save/Centropolis.sc4
dbpf ver  : 1.0   index 7.0  stride 20
entries   : 175   index@0x101496 size 3500
DIR recs  : 121

TYPE          COUNT     RAWBYTES   sample G/I
0x6534284A     18         8393   8a3858d8/03420000 8a3858d8/03c00000
0xA9DD6FF4      5        46900   e98f9525/00000001 e98f9525/00000064
0x8A2482B9      4       132123   4a2482bb/00000000 4a2482bb/00000002
0x2026960B      4           48   4a2482bb/00000001 4a2482bb/00000003
0x499B23FE      1          806   299b2d1b/00000000
0x6A26D049      1          389   299b2d1b/00000000
0xAA371C32      1         1411   299b2d1b/00000000
0x8A09F5F4      1        12976   299b2d1b/00000000
0x6B70EFAD      1        12112   299b2d1b/00000000
0x6A9335DE      1        18859   299b2d1b/00000000
0x6A3848DB      1          601   299b2d1b/00000000
0x49B9E60A      1        27153   299b2d1b/00000000
0x49B9E606      1          502   299b2d1b/00000000
0x49B9E605      1        36508   299b2d1b/00000000
0x49B9E604      1         3517   299b2d1b/00000000
0x49B9E602      1        35482   299b2d1b/00000000
0x2A5F877D      1          943   299b2d1b/00000000
0x0C0B06E8      1           22   299b2d1b/00000000
0x0BF606A5      1         1492   299b2d1b/00000000
0x0990C138      1          395   299b2d1b/00000000
0xEAC937B4      1         2249   299b2d1b/00000000
0xEA19E825      1          511   299b2d1b/00000000
0xEA0A5ACF      1          381   299b2d1b/00000000
0xCA2C2A2F      1          765   299b2d1b/00000000
0xC9C05C6E      1       178168   299b2d1b/00000000
0xC9C05C5D      1         1283   299b2d1b/00000000
0xC9BD5D4A      1        63564   299b2d1b/00000000
0xC9B84E10      1           15   299b2d1b/00000000
0xC97F987C      1        55970   299b2d1b/00000000
0xAA5292D7      1          372   299b2d1b/00000000
0xAA313C9F      1         1852   299b2d1b/00000000
0xA9C05C85      1       172119   299b2d1b/00000000
0xA9BC9AB6      1           77   299b2d1b/00000000
0xA97F909E      1          225   299b2d1b/00000000
0xA2BF1E43      1          520   299b2d1b/00000000
0xA2BF1DE5      1          462   299b2d1b/00000000
0xA2BF1DDC      1          460   299b2d1b/00000000
0xA0D07129      1          302   299b2d1b/00000000
0x97D76F6E      1          450   299b2d1b/00000000
0x8BE3753B      1         1758   299b2d1b/00000000
0x8BA98EDA      1          537   299b2d1b/00000000
0x8A22BEBE      1          807   299b2d1b/00000000
0x8990C12D      1         3429   299b2d1b/00000000
0x8990C09A      1          232   299b2d1b/00000000
0x8990C080      1           31   299b2d1b/00000000
0x8990C065      1         8564   299b2d1b/00000000
0x8990BE7A      1         1066   299b2d1b/00000000
0x896E75AF      1        37345   299b2d1b/00000000
0x896E714A      1         4388   299b2d1b/00000000
0x82B9999B      1          401   299b2d1b/00000000
0x815B4CEF      1          373   299b2d1b/00000000
0x6A5F8755      1          423   299b2d1b/00000000
0x6A1628BA      1         3324   299b2d1b/00000000
0x6A0F82B2      1       126281   299b2d1b/00000000
0x6990C1AA      1       191653   299b2d1b/00000000
0x6990C04F      1          177   299b2d1b/00000000
0x62F6E7CF      1          355   299b2d1b/00000000
0x62BF1DB9      1          376   299b2d1b/00000000
0x62BF1DAA      1          419   299b2d1b/00000000
0x4C0AE114      1           22   299b2d1b/00000000
0x4BE372CD      1          494   299b2d1b/00000000
0x4A3AD3E1      1          396   299b2d1b/00000000
0x4A222B98      1          564   299b2d1b/00000000
0x4A1DBBBF      1         7082   299b2d1b/00000000
0x4A1B664E      1           14   299b2d1b/00000000
0x4A1628C5      1        15572   299b2d1b/00000000
0x4A0DD616      1          198   299b2d1b/00000000
0x49C1A034      1        39801   299b2d1b/00000000
0x49C05C9F      1        23084   299b2d1b/00000000
0x49C05C8F      1        17786   299b2d1b/00000000
0x49C05B9F      1       150093   299b2d1b/00000000
0x49B9E603      1         2112   299b2d1b/00000000
0x4990C013      1          374   299b2d1b/00000000
0x4990BD93      1           34   299b2d1b/00000000
0x498F9B01      1         4969   299b2d1b/00000000
0x42BF1E18      1          484   299b2d1b/00000000
0x40D07236      1          419   299b2d1b/00000000
0x2990C1BC      1        33158   299b2d1b/00000000
