00000000: null rid (no texture)
07F942A1: OK 256x256 RGBA (SimCity_3.dat G=1ABE787D)
09176610: OK 256x256 RGBA (SimCity_3.dat G=1ABE787D)
0A0F8B4C: OK 256x256 RGBA (SimCity_3.dat G=1ABE787D)
0A450C35: OK 64x64 RGBA (SimCity_3.dat G=1ABE787D)
0A47874F: OK 128x128 RGBA (SimCity_3.dat G=1ABE787D)
0A4911E7: OK 32x32 RGBA (SimCity_3.dat G=1ABE787D)
0A4E4A9C: OK 64x64 RGBA (SimCity_3.dat G=1ABE787D)
0A5545E5: OK 128x128 RGBA (SimCity_3.dat G=1ABE787D)
0AA55EA7: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
0E020002: NOT FOUND in any archive
13B13908: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
13B1390A: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
13C14501: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
13C14520: OK 128x128 RGBA (SimCity_2.dat G=1ABE787D)
144161D0: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
144161D2: OK 32x32 RGBA (SimCity_2.dat G=1ABE787D)
144161D3: OK 32x32 RGBA (SimCity_2.dat G=1ABE787D)
144161D6: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
144161D7: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
144161D8: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
144161D9: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
144161DA: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
144161DB: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
2A2EF55D: OK 128x128 RGBA (SimCity_2.dat G=1ABE787D)
2A415241: OK 16x16 RGBA (SimCity_2.dat G=1ABE787D)
2A41601E: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
2A554671: OK 128x128 RGBA (SimCity_2.dat G=1ABE787D)
2C21151E: OK 128x64 RGBA (SimCity_2.dat G=1ABE787D)
498A2959: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
4A416B01: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
4A4E5091: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
4A540DA4: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
4C35FC4E: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
6A450C41: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
6A55458E: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
6A9707F4: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
6C23BE66: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
8A13384A: OK 128x128 RGBA (SimCity_2.dat G=1ABE787D)
8A492E8A: OK 128x128 RGBA (SimCity_2.dat G=1ABE787D)
8A5545C0: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
A9AED3FE: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
AA08A8FE: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
AA415F7C: OK 32x32 RGBA (SimCity_2.dat G=1ABE787D)
AA450C2C: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
AAA980D5: OK 128x64 RGBA (SimCity_2.dat G=1ABE787D)
CA450C48: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
CA53E899: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
CA55455E: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
CA55460A: OK 128x128 RGBA (SimCity_2.dat G=1ABE787D)
CA55464E: OK 128x128 RGBA (SimCity_2.dat G=1ABE787D)
CA9B08AF: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
CB7DA297: OK 256x256 RGBA (SimCity_2.dat G=1ABE787D)
CB93E2D6: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
CBC23F68: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
E91053CB: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
E92073CA: OK 64x64 RGBA (SimCity_2.dat G=1ABE787D)
EA63ACC4: OK 32x32 RGBA (SimCity_2.dat G=1ABE787D)
EAA406BA: OK 128x128 RGBA (SimCity_2.dat G=1ABE787D)
