archive : C:\dev\SC4UIScale\tools\selective-safe\z_SC4UIScale_SelectiveArt.dat  (11872511 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A85A445  modified 0x6A85A445
index   : 693 entries @ 0xB4F2DB (13860 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x00000000 0x08000600 0x09923283 0x00000060 6925
0x00000000 0x08000600 0x2A2AED99 0x00001B6D 7931
0x00000000 0x08000600 0x2BC90671 0x00003A68 28303
0x00000000 0x08000600 0x898897DE 0x0000A8F7 25813
0x00000000 0x08000600 0xAA1F1F57 0x00010DCC 85336
0x00000000 0x08000600 0xC973B411 0x00025B24 22106
0x00000000 0x08000600 0xC9930681 0x0002B17E 9428
0x00000000 0x08000600 0xE9923283 0x0002D652 7024
0x00000000 0x08000600 0xE99237FF 0x0002F1C2 8388
0x00000000 0x08000600 0xE9949936 0x00031286 5294
0x00000000 0x96A006B0 0x09923283 0x00032734 6905
0x00000000 0x96A006B0 0x0A5FA5D6 0x0003422D 12298
0x00000000 0x96A006B0 0x0B72F276 0x00037237 107222
0x00000000 0x96A006B0 0x0BEC56C1 0x0005150D 18727
0x00000000 0x96A006B0 0x0BEC56C2 0x00055E34 18729
0x00000000 0x96A006B0 0x0C05BCF0 0x0005A75D 14388
0x00000000 0x96A006B0 0x0C0734E6 0x0005DF91 14389
0x00000000 0x96A006B0 0x0C15687F 0x000617C6 13746
0x00000000 0x96A006B0 0x0C156CDD 0x00064D78 13746
0x00000000 0x96A006B0 0x2A2AED99 0x0006832A 7933
0x00000000 0x96A006B0 0x2BC9060F 0x0006A227 110277
0x00000000 0x96A006B0 0x2BC90671 0x000850EC 25777
0x00000000 0x96A006B0 0x2BF1D6C0 0x0008B59D 14388
0x00000000 0x96A006B0 0x2BF1D8CE 0x0008EDD1 14388
0x00000000 0x96A006B0 0x2C0706F8 0x00092605 14261
0x00000000 0x96A006B0 0x49889894 0x00095DBA 8625
0x00000000 0x96A006B0 0x4992F764 0x00097F6B 4988
0x00000000 0x96A006B0 0x4A160034 0x000992E7 35004
0x00000000 0x96A006B0 0x4BC906B5 0x000A1BA3 16220
0x00000000 0x96A006B0 0x4BCBB842 0x000A5AFF 14261
0x00000000 0x96A006B0 0x4C05BD49 0x000A92B4 16392
0x00000000 0x96A006B0 0x4C156847 0x000AD2BC 13746
0x00000000 0x96A006B0 0x4C3BD022 0x000B086E 14389
0x00000000 0x96A006B0 0x69E3D347 0x000B40A3 6293
0x00000000 0x96A006B0 0x6BB27447 0x000B5938 5146
0x00000000 0x96A006B0 0x6BC61F19 0x000B6D52 19101
0x00000000 0x96A006B0 0x6BC9065A 0x000BB7EF 30582
0x00000000 0x96A006B0 0x6BE9FF14 0x000C2F65 14261
0x00000000 0x96A006B0 0x6BE9FF15 0x000C671A 14261
0x00000000 0x96A006B0 0x6BE9FF16 0x000C9ECF 14261
0x00000000 0x96A006B0 0x6C07071F 0x000CD684 14261
0x00000000 0x96A006B0 0x6C44F858 0x000D0E39 14388
0x00000000 0x96A006B0 0x898897DE 0x000D466D 26878
0x00000000 0x96A006B0 0x899302FC 0x000DAF6B 7652
0x00000000 0x96A006B0 0x8BF1D5B5 0x000DCD4F 14388
0x00000000 0x96A006B0 0x8C0EAA1B 0x000E0583 13151
0x00000000 0x96A006B0 0x8C0EADCE 0x000E38E2 15877
0x00000000 0x96A006B0 0x8C1A5C9F 0x000E76E7 1527
0x00000000 0x96A006B0 0xA991ED83 0x000E7CDE 6680
0x00000000 0x96A006B0 0xAA1F1F57 0x000E96F6 85350
0x00000000 0x96A006B0 0xAA356502 0x000FE45C 4787
0x00000000 0x96A006B0 0xAA3ACDFE 0x000FF70F 136927
0x00000000 0x96A006B0 0xAA53E3EA 0x00120DEE 5375
0x00000000 0x96A006B0 0xAA920991 0x001222ED 32973
0x00000000 0x96A006B0 0xAAA44448 0x0012A3BA 5409
0x00000000 0x96A006B0 0xABB0120F 0x0012B8DB 23774
0x00000000 0x96A006B0 0xABC0ED33 0x001315B9 7560
0x00000000 0x96A006B0 0xABCB937D 0x00133341 14388
0x00000000 0x96A006B0 0xABE8D4F1 0x00136B75 14389
0x00000000 0x96A006B0 0xABE8D4F2 0x0013A3AA 14388
0x00000000 0x96A006B0 0xABE8D4F3 0x0013DBDE 14890
0x00000000 0x96A006B0 0xABE8D4F4 0x00141608 14388
0x00000000 0x96A006B0 0xABE8D4F5 0x00144E3C 14388
0x00000000 0x96A006B0 0xABE8D4F6 0x00148670 14388
0x00000000 0x96A006B0 0xAC156804 0x0014BEA4 13746
0x00000000 0x96A006B0 0xC973B411 0x0014F456 22113
0x00000000 0x96A006B0 0xC9930681 0x00154AB7 9428
0x00000000 0x96A006B0 0xCB95403E 0x00156F8B 6051
0x00000000 0x96A006B0 0xCBC3C2B9 0x0015872E 148194
0x00000000 0x96A006B0 0xCBC905CD 0x0017CA10 35000
0x00000000 0x96A006B0 0xCBF1DB54 0x001852C8 9555
0x00000000 0x96A006B0 0xCBF1DB55 0x0018781B 9555
0x00000000 0x96A006B0 0xCBF1DB56 0x00189D6E 9555
0x00000000 0x96A006B0 0xCC070735 0x0018C2C1 16392
0x00000000 0x96A006B0 0xCC0C43F8 0x001902C9 14261
0x00000000 0x96A006B0 0xCC156762 0x00193A7E 13746
0x00000000 0x96A006B0 0xCC156828 0x00197030 13746
0x00000000 0x96A006B0 0xCC1BDF3E 0x0019A5E2 9555
0x00000000 0x96A006B0 0xE9923283 0x0019CB35 7025
0x00000000 0x96A006B0 0xE99237FF 0x0019E6A6 8388
0x00000000 0x96A006B0 0xE9949936 0x001A076A 5295
0x00000000 0x96A006B0 0xEA287193 0x001A1C19 95998
0x00000000 0x96A006B0 0xEA2871AA 0x001B9317 47219
0x00000000 0x96A006B0 0xEBE990DC 0x001C4B8A 14388
0x00000000 0x96A006B0 0xEC05BCCF 0x001C83BE 14388
0x00000000 0x96A006B0 0xEC07070B 0x001CBBF2 14261
0x00000000 0x96A006B0 0xEC072A41 0x001CF3A7 13746
0x00000000 0x96A006B0 0xEC156864 0x001D2959 13746
0x00000000 0x96A006B0 0xEC156CFC 0x001D5F0B 13746
0x856DDBAC 0x1ABE787D 0x13D14CA3 0x001D94BD 460
0x856DDBAC 0x1ABE787D 0x14416242 0x001D9689 133
0x856DDBAC 0x1ABE787D 0x47026241 0x001D970E 4321
0x856DDBAC 0x1ABE787D 0x6C29491F 0x001DA7EF 2264
0x856DDBAC 0x1ABE787D 0xFA8CDFBF 0x001DB0C7 4076
0x856DDBAC 0x1ABE787D 0xFA8CDFC0 0x001DC0B3 4145
0x856DDBAC 0x1ABE787D 0xFA8CDFC1 0x001DD0E4 4338
0x856DDBAC 0x1ABE787D 0xFA8CDFC2 0x001DE1D6 3959
0x856DDBAC 0x1ABE787D 0xFA8CDFC3 0x001DF14D 4036
0x856DDBAC 0x1ABE787D 0xFA8CDFC4 0x001E0111 4086
0x856DDBAC 0x1ABE787D 0xFA8CDFC5 0x001E1107 4200
0x856DDBAC 0x1ABE787D 0xFA8CDFC6 0x001E216F 4324
0x856DDBAC 0x1ABE787D 0xFA8CDFC7 0x001E3253 4355
0x856DDBAC 0x1ABE787D 0xFA8CDFC8 0x001E4356 4568
0x856DDBAC 0x1ABE787D 0xFA8CDFC9 0x001E552E 3968
