TypeID,GroupID,InstanceID,classification,occurrences,n_files,scaled_files,unscaled_files,twox_available,action,clone_GroupID,clone_InstanceID
0x856DDBAC,0x00000001,0x14416315,UNSCALED,1,1,,T-00000000_G-96a006b0_I-cba9ef16.ui,yes,untouched,,
0x856DDBAC,0x1ABE787D,0x0C0E0F3C,UNSCALED,1,1,,T-00000000_G-96a006b0_I-ebd0d36c.ui,yes,untouched,,
0x856DDBAC,0x1ABE787D,0x13D14CA3,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x1ABE787D,0x144161E4,UNSCALED,10,10,,T-00000000_G-96a006b0_I-0a7df315.ui;T-00000000_G-96a006b0_I-4a8cc5ea.ui;T-00000000_G-96a006b0_I-6b704690.ui;T-00000000_G-96a006b0_I-8a5ab1cb.ui;T-00000000_G-96a006b0_I-8a5ab1cc.ui;T-00000000_G-96a006b0_I-8a5ab1cd.ui;T-00000000_G-96a006b0_I-8a7e052f.ui;T-00000000_G-96a006b0_I-ca8cbf0f.ui;T-00000000_G-96a006b0_I-ea89b6c3.ui;T-00000000_G-96a006b0_I-ea8cc3c6.ui,yes,untouched,,
0x856DDBAC,0x1ABE787D,0x144161EE,UNSCALED,16,13,,T-00000000_G-96a006b0_I-0a4d0c43.ui;T-00000000_G-96a006b0_I-0a7df315.ui;T-00000000_G-96a006b0_I-4a8cc5ea.ui;T-00000000_G-96a006b0_I-6b704690.ui;T-00000000_G-96a006b0_I-8a5ab1cb.ui;T-00000000_G-96a006b0_I-8a5ab1cc.ui;T-00000000_G-96a006b0_I-8a5ab1cd.ui;T-00000000_G-96a006b0_I-8a5ab1cf.ui;T-00000000_G-96a006b0_I-8a7e052f.ui;T-00000000_G-96a006b0_I-ca4d0b22.ui;T-00000000_G-96a006b0_I-ca8cbf0f.ui;T-00000000_G-96a006b0_I-ea89b6c3.ui;T-00000000_G-96a006b0_I-ea8cc3c6.ui,yes,untouched,,
0x856DDBAC,0x1ABE787D,0x14416220,UNSCALED,2,1,,T-00000000_G-96a006b0_I-aa561f93.ui,yes,untouched,,
0x856DDBAC,0x1ABE787D,0x14416224,UNSCALED,2,1,,T-00000000_G-96a006b0_I-0a562a05.ui,yes,untouched,,
0x856DDBAC,0x1ABE787D,0x14416240,SHARED,16,9,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,T-00000000_G-96a006b0_I-0a243d80.ui;T-00000000_G-96a006b0_I-0a7df315.ui;T-00000000_G-96a006b0_I-4a89b3f2.ui;T-00000000_G-96a006b0_I-8a5ab1ce.ui;T-00000000_G-96a006b0_I-8a5ab1cf.ui;T-00000000_G-96a006b0_I-8a5ab1d0.ui;T-00000000_G-96a006b0_I-8a7e052f.ui,yes,clone+retarget,0x1ABE787D,0x47026241
0x856DDBAC,0x1ABE787D,0x14416242,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x1ABE787D,0x14416245,UNSCALED,5,1,,T-00000000_G-96a006b0_I-0a7df315.ui,yes,untouched,,
