# Art TGIs PROVEN to be horizontal state strips (#156).
# Generated by tools\upscale\find_cell_strips.py - do not hand-edit.
# Derived, not guessed: a .UI binds the sheet to a window
# whose HEIGHT equals the sheet's and whose WIDTH divides it.
# Code-bound entries (zero .UI refs; byte evidence - F10):
#   {46a006b0,14015584} states=6 height=exact: cSC4WinTrendBar /6 fill strip, draw 0x7BF0A0 (0x7BF0E4 imul 0xAAAAAAAB + shr edi,2); height full-height-centred in the same draw
# <group> <instance> <states>
00000001 14416315 4
1abe787d 14416242 4
1abe787d 14416245 8
1abe787d 14416271 4
1abe787d 14416272 4
1abe787d 14416273 4
1abe787d 6c29491f 4
22dec92d 00002001 4
22dec92d 00002002 4
22dec92d 00002003 4
22dec92d 00002004 4
22dec92d 00002005 4
22dec92d 00002006 4
22dec92d 00002007 4
22dec92d 00002008 4
22dec92d 0000200a 4
22dec92d 00003002 4
22dec92d 00003003 4
22dec92d 00003004 4
46a006b0 0c0d45f9 4
46a006b0 0c3a2e71 4
46a006b0 13d14c10 4
46a006b0 13d14c20 4
46a006b0 13d14c30 4
46a006b0 13d14c40 4
46a006b0 13d14c50 4
46a006b0 13d14c60 4
46a006b0 13d14c70 4
46a006b0 13d14c80 4
46a006b0 13d14c90 4
46a006b0 13e14f80 4
46a006b0 13e14f91 4
46a006b0 13e14fa0 4
46a006b0 13e14fb0 4
46a006b0 13e14fb1 4
46a006b0 13e14fb2 4
46a006b0 13e14fb3 4
46a006b0 13e14fb5 4
46a006b0 13e14fb6 4
46a006b0 13f15211 4
46a006b0 13f15230 4
46a006b0 13f15245 4
46a006b0 13f15249 4
46a006b0 13f1524a 4
46a006b0 13f1524c 4
46a006b0 13f15251 4
46a006b0 13f15253 4
46a006b0 13f15254 4
46a006b0 13f15255 4
46a006b0 13f15257 4
46a006b0 13f15258 4
46a006b0 13f15259 4
46a006b0 13f1525e 4
46a006b0 13f1525f 4
46a006b0 13f15263 4
46a006b0 13f15264 4
46a006b0 13f15265 4
46a006b0 13f15266 4
46a006b0 14015541 4
46a006b0 14015542 4
46a006b0 14015543 4
46a006b0 14015544 4
46a006b0 14015547 4
46a006b0 14015548 4
46a006b0 1401554c 4
46a006b0 14015550 4
46a006b0 14015555 4
46a006b0 14015570 4
46a006b0 14015571 4
46a006b0 14015572 4
46a006b0 14015573 4
46a006b0 14015574 4
46a006b0 14015575 4
46a006b0 14015576 4
46a006b0 14015578 4
46a006b0 1401557c 4
46a006b0 14015583 4
46a006b0 14015584 6
46a006b0 14015586 4
46a006b0 140155b3 4
46a006b0 140155b5 4
46a006b0 140155b6 4
46a006b0 140155cb 4
46a006b0 140155cc 4
46a006b0 14215e21 4
46a006b0 14215e22 4
46a006b0 14215e23 4
46a006b0 14215e24 4
46a006b0 14215e25 4
46a006b0 14215e26 4
46a006b0 14215e30 4
46a006b0 14215e31 4
46a006b0 14215e32 4
46a006b0 14215e34 4
46a006b0 14215e35 4
46a006b0 14215e40 4
46a006b0 14215e41 4
46a006b0 14215e42 4
46a006b0 14215e43 4
46a006b0 14215e44 4
46a006b0 14215e45 4
46a006b0 14215e50 4
46a006b0 14215e51 4
46a006b0 14215e53 4
46a006b0 14215e54 4
46a006b0 14215e60 4
46a006b0 14215e63 4
46a006b0 14215e70 4
46a006b0 14215e71 4
46a006b0 14215e72 4
46a006b0 14215e73 4
46a006b0 14215e74 4
46a006b0 14215e75 4
46a006b0 14215e76 4
46a006b0 14215e80 4
46a006b0 14415860 4
46a006b0 14415872 4
46a006b0 14415873 4
46a006b0 14415874 4
46a006b0 14415878 4
46a006b0 14415879 4
46a006b0 1441587a 4
46a006b0 14415881 4
46a006b0 14415882 4
46a006b0 14415883 4
46a006b0 14415886 4
46a006b0 14415887 4
46a006b0 14415888 4
46a006b0 14415889 4
46a006b0 144161e0 4
46a006b0 144161e2 4
