# U-Drive-It gauge needle strip FRAME COUNTS (#186).
# Generated by tools\upscale\find_gauge_strip_counts.py - do not hand-edit.
# Code-bound (vehicle exemplar 0x2BE8E6CB), so the .UI-driven
# derivation in find_cell_strips.py cannot see them. Counts
# measured by strip periodicity; 5 of them cross-checked
# against the cell the game printed in a live 1.5x capture.
# <group> <instance> <frames>   # sheet  scan(score) runner-up  1.5x
46a006b0 0beb3dbf 16   # 656x29  N=16(17.57) up=8(21.61)  FIXES DRIFT
46a006b0 0c0729aa 60   # 3480x56  N=60(25.92) up=30(33.69)  already exact
46a006b0 0c0729ab 14   # 2100x9  N=14(4.97) up=15(5.33)  already exact
46a006b0 abec941c 15   # 2760x44  N=15(30.88) up=30(31.71)  already exact
46a006b0 ac0da30b 25   # 2000x55  N=25(5.62) up=250(42.43)  already exact
46a006b0 ac0da30c 59   # 3304x58  N=59(2.51) up=56(23.58)  already exact
46a006b0 ac0da30d 9   # 162x66  N=9(29.55) up=3(49.70)  already exact
46a006b0 ac0da30e 37   # 1998x54  N=37(13.82) up=18(33.21)  already exact
46a006b0 cbcb6e9f 55   # 3740x60  N=55(36.01) up=374(105.97)  already exact
46a006b0 cbcba947 37   # 1998x54  N=37(18.04) up=18(40.00)  already exact
46a006b0 cbcba948 55   # 2805x54  N=55(1.73) up=51(36.97)  FIXES DRIFT
46a006b0 cbcba949 55   # 2805x50  N=55(3.57) up=51(57.90)  FIXES DRIFT
46a006b0 cbcba950 55   # 2805x50  N=55(3.41) up=51(49.12)  FIXES DRIFT
46a006b0 cbcba952 55   # 3740x60  N=55(1.12) up=374(36.85)  already exact
46a006b0 cbe99a5e 60   # 4080x68  N=60(4.03) up=30(5.42)  already exact
46a006b0 ebcbb93f 59   # 3068x60  N=59(2.68) up=52(45.89)  already exact
