# #177: state strips whose HEIGHT takes plain rounding (no
# vertical cell snap). Generated by find_cell_strips.py - do
# not hand-edit. A strip is here iff NOTHING gives its sheet
# vertical structure: no partial-height imagerect by any
# consumer, no rule-(b) (9-sliced cell) consumer.
# <group> <instance>
1abe787d 14416245
1abe787d 14416271
1abe787d 14416272
1abe787d 14416273
1abe787d 6c29491f
46a006b0 0beb3dbf
46a006b0 0c0729aa
46a006b0 0c0729ab
46a006b0 0c0d45f9
46a006b0 0c3a2e71
46a006b0 13d14c10
46a006b0 13d14c20
46a006b0 13d14c60
46a006b0 13d14c70
46a006b0 13d14c80
46a006b0 13d14c90
46a006b0 13e14f80
46a006b0 13e14f91
46a006b0 13e14fa0
46a006b0 13e14fb0
46a006b0 13e14fb1
46a006b0 13e14fb2
46a006b0 13e14fb3
46a006b0 13e14fb5
46a006b0 13e14fb6
46a006b0 13f15230
46a006b0 13f15245
46a006b0 13f15249
46a006b0 13f1524a
46a006b0 13f1524c
46a006b0 13f15251
46a006b0 13f15253
46a006b0 13f15254
46a006b0 13f15255
46a006b0 13f15257
46a006b0 13f15258
46a006b0 13f15259
46a006b0 13f1525e
46a006b0 13f1525f
46a006b0 13f15263
46a006b0 13f15264
46a006b0 13f15265
46a006b0 13f15266
46a006b0 14015548
46a006b0 1401554c
46a006b0 14015550
46a006b0 14015555
46a006b0 14015570
46a006b0 14015571
46a006b0 14015572
46a006b0 14015573
46a006b0 14015574
46a006b0 14015575
46a006b0 14015576
46a006b0 14015578
46a006b0 14015584
46a006b0 140155cb
46a006b0 140155cc
46a006b0 14215e21
46a006b0 14215e22
46a006b0 14215e23
46a006b0 14215e24
46a006b0 14215e25
46a006b0 14215e26
46a006b0 14215e30
46a006b0 14215e31
46a006b0 14215e32
46a006b0 14215e34
46a006b0 14215e35
46a006b0 14215e40
46a006b0 14215e41
46a006b0 14215e42
46a006b0 14215e43
46a006b0 14215e44
46a006b0 14215e45
46a006b0 14215e50
46a006b0 14215e51
46a006b0 14215e53
46a006b0 14215e54
46a006b0 14215e60
46a006b0 14215e63
46a006b0 14215e70
46a006b0 14215e71
46a006b0 14215e72
46a006b0 14215e73
46a006b0 14215e74
46a006b0 14215e75
46a006b0 14215e76
46a006b0 14215e80
46a006b0 14415860
46a006b0 14415872
46a006b0 14415873
46a006b0 14415874
46a006b0 14415878
46a006b0 14415879
46a006b0 1441587a
46a006b0 14415881
46a006b0 14415882
46a006b0 14415883
46a006b0 14415886
46a006b0 14415887
46a006b0 14415888
46a006b0 14415889
46a006b0 144161e0
46a006b0 144161e7
46a006b0 144161f7
46a006b0 14416230
46a006b0 14416232
46a006b0 14416301
46a006b0 14416302
46a006b0 14416303
46a006b0 14416304
46a006b0 14416312
46a006b0 14416313
46a006b0 14416314
46a006b0 14416315
46a006b0 14416317
46a006b0 14416318
46a006b0 14416319
46a006b0 1441631a
46a006b0 1441631b
46a006b0 14416323
46a006b0 14416324
46a006b0 14416325
46a006b0 14416326
46a006b0 2b70529b
46a006b0 2bc1198a
46a006b0 2c201cb0
46a006b0 2c201cb1
46a006b0 2c201cb2
46a006b0 4b9eba86
46a006b0 4bfc52c2
46a006b0 6bfb1b69
46a006b0 6bfb1b70
46a006b0 ab7052bd
46a006b0 ab9e7552
46a006b0 abb172fa
46a006b0 abb172fb
46a006b0 abec941c
46a006b0 ac0da30b
46a006b0 ac0da30c
46a006b0 ac0da30d
46a006b0 ac0da30e
46a006b0 ac101989
46a006b0 cbb16e5c
46a006b0 cbb16e5d
46a006b0 cbb16e5e
46a006b0 cbc26c9a
46a006b0 cbc26c9b
46a006b0 cbcb6e9c
46a006b0 cbcb6e9e
46a006b0 cbcb6e9f
46a006b0 cbcb9a73
46a006b0 cbcb9a74
46a006b0 cbcba947
46a006b0 cbcba948
46a006b0 cbcba949
46a006b0 cbcba950
46a006b0 cbcba952
46a006b0 cbe99a5e
46a006b0 cc39214d
46a006b0 cc39214e
46a006b0 eb68c1b2
46a006b0 eb68c1b3
46a006b0 eb7c4bd6
46a006b0 ebcbb93f
