# Art TGIs PROVEN to be 9-slice frames and never state strips (#157).
# Generated by tools\upscale\find_nine_slice.py - do not hand-edit.
# Derived, not guessed: a .UI draws the sheet with blttype=edge or
# edgeimage=yes, and NO .UI ever draws it as a GZWinBtn state.
# Upscale2x sizes these with CellUnit {3} only, so the NineSlice cell
# img->Width()/3 stays proportional to the geometry at a fractional tier.
# <group> <instance>
1abe787d 144161e4
1abe787d 144161ee
1abe787d 14416220
1abe787d 14416224
1abe787d 14416240
1abe787d 8c0e0f2d
46a006b0 14015558
46a006b0 144161c0
46a006b0 144161e4
46a006b0 144161ee
46a006b0 144161f1
46a006b0 144161f2
46a006b0 14416220
46a006b0 14416221
46a006b0 14416222
46a006b0 14416223
46a006b0 14416225
46a006b0 14416226
46a006b0 14416227
46a006b0 14416228
46a006b0 14416229
46a006b0 1441622a
46a006b0 14416240
46a006b0 14416264
46a006b0 4c02b518
46a006b0 4c0f0d31
46a006b0 6bb93cb5
46a006b0 6bbe7795
46a006b0 8bc38238
46a006b0 cbec3db2
