# Art the engine binds as ITEM ICONS (lot / building thumbnails).
# Generated by tools\upscale\find_thumbnails.py - do not hand-edit.
# Derived, not guessed: every PNG the ItemIcons + ItemIconsSub packages
# carry, i.e. what stage_icons.py reads off the exemplars' item-icon
# references and what build_itemicons_sub.py packs from the submenu sets.
# At a fractional factor these keep the plain copy path (nearest): a
# rendered picture wants hard pixels, the user's 2026-09-01 verdict.
# sources: z_SC4UIScale_ItemIcons-15x.dat=356, z_SC4UIScale_ItemIconsSub-15x.dat=130
# groups: 6a386d26=485
# <group> <instance>
6a386d26 00000001
6a386d26 00000002
6a386d26 00000003
6a386d26 00000004
6a386d26 00000005
6a386d26 00000006
6a386d26 00000007
6a386d26 00000008
6a386d26 00000009
6a386d26 0000000a
6a386d26 00001111
6a386d26 02000001
6a386d26 02000002
6a386d26 02000003
6a386d26 02000004
6a386d26 02000005
6a386d26 02000006
6a386d26 02000007
6a386d26 02000008
6a386d26 02000009
6a386d26 0200000a
6a386d26 0200000b
6a386d26 03000002
6a386d26 03000003
6a386d26 03000004
6a386d26 03000005
6a386d26 03c6629c
6a386d26 04000001
6a386d26 04000002
6a386d26 04000003
6a386d26 04000004
6a386d26 04000005
6a386d26 04000006
6a386d26 04000007
6a386d26 04000008
6a386d26 04000009
6a386d26 04986b76
6a386d26 07047b22
6a386d26 08000001
6a386d26 0a33ef97
6a386d26 0a35ae37
6a386d26 0a35af5b
6a386d26 0a35bb05
6a386d26 0a3edde4
6a386d26 0a8b79d2
6a386d26 0a8b7a02
6a386d26 0a8b7a30
6a386d26 0a8b7dd4
6a386d26 0a8b7de3
6a386d26 0a8b7de9
6a386d26 0a8b7dff
6a386d26 0a8b7e1d
6a386d26 0a8dc347
6a386d26 0a8dc359
6a386d26 0a8dc37d
6a386d26 0a918a05
6a386d26 0a918b3f
6a386d26 0a918b66
6a386d26 0a918b7e
6a386d26 0a9ef13b
6a386d26 0ac7d671
6a386d26 0acb93df
6a386d26 0b0ae5a3
6a386d26 0b54b017
6a386d26 0b61e3f4
6a386d26 0bb1577f
6a386d26 0bfaf2a3
6a386d26 0bfaf2a4
6a386d26 0bfddb03
6a386d26 0bfddb04
6a386d26 0c225b88
6a386d26 0c225b89
6a386d26 0c366fca
6a386d26 0c7a83e6
6a386d26 0d000001
6a386d26 0d1d6acb
6a386d26 0d4fdea6
6a386d26 0d940f18
6a386d26 11bf1ca9
6a386d26 1253a4f1
6a386d26 13d1986e
6a386d26 14215eb0
6a386d26 14215eb1
6a386d26 14215eb2
6a386d26 14215eb3
6a386d26 14215eb4
6a386d26 14215eb5
6a386d26 14215eb6
6a386d26 14215eb7
6a386d26 14215eb8
6a386d26 14215eb9
6a386d26 14215eba
6a386d26 14215ebb
6a386d26 14215ebc
6a386d26 14215ebd
6a386d26 14215ebe
6a386d26 14215ebf
6a386d26 14215ec0
6a386d26 14215ec1
6a386d26 14215ec2
6a386d26 14215ec3
6a386d26 14215ec4
6a386d26 14215ec5
6a386d26 14215ec6
6a386d26 14215ec7
6a386d26 14215ec8
6a386d26 144161ec
6a386d26 14d53c20
6a386d26 1cd18678
6a386d26 1fdde184
6a386d26 217b6c35
6a386d26 231186a6
6a386d26 231a97d3
6a386d26 244f77e1
6a386d26 24c43253
6a386d26 26b51b28
6a386d26 26eb3057
6a386d26 27ed9da2
6a386d26 2a319fa2
6a386d26 2a33e8ee
6a386d26 2a33ed1c
6a386d26 2a33f1cf
6a386d26 2a35b579
6a386d26 2a35bb54
6a386d26 2a35d606
6a386d26 2a39414c
6a386d26 2a3ed76a
6a386d26 2a515908
6a386d26 2a8b795f
6a386d26 2a8b7990
6a386d26 2a8b79ad
6a386d26 2a8b79e1
6a386d26 2a8b7d11
6a386d26 2a8b7d1f
6a386d26 2a8b7e24
6a386d26 2a8dc2a3
6a386d26 2a8dc392
6a386d26 2a918792
6a386d26 2a918926
6a386d26 2a918adb
6a386d26 2a918b0f
6a386d26 2a930f19
6a386d26 2a9abbc7
6a386d26 2a9f1ce0
6a386d26 2a9f1ce1
6a386d26 2a9f1ce2
6a386d26 2a9f1ce3
6a386d26 2b0b0c1c
6a386d26 2b294cc2
6a386d26 2b9973e7
6a386d26 2ba66415
6a386d26 2bce4502
6a386d26 2bfc2364
6a386d26 2bfc2365
6a386d26 2bfc2366
6a386d26 2bfc2367
6a386d26 2bfc2368
6a386d26 2bfc2369
6a386d26 2bfdaf12
6a386d26 2bff666a
6a386d26 2bff666b
6a386d26 2bff666c
6a386d26 2bff666d
6a386d26 2c05bff4
6a386d26 2c06d291
6a386d26 2c09be4f
6a386d26 2c2a7e57
6a386d26 2c3a85ef
6a386d26 2c3cacf5
6a386d26 2c3cba7e
6a386d26 2cbe97d3
6a386d26 2d1e7a9e
6a386d26 2d217719
6a386d26 2eab68cd
6a386d26 2fae9226
6a386d26 322c7959
6a386d26 34872afe
6a386d26 35380c75
6a386d26 3557f0a1
6a386d26 37ffa051
6a386d26 39ba25c7
6a386d26 3a1d9854
6a386d26 3b6755a2
6a386d26 44fd9388
6a386d26 4a33f2a8
6a386d26 4a35b495
6a386d26 4a35b803
6a386d26 4a35b8b7
6a386d26 4a35b904
6a386d26 4a35ba43
6a386d26 4a35c3f5
6a386d26 4a35d5af
6a386d26 4a3d6e6a
6a386d26 4a3d6e6b
6a386d26 4a3d6e6c
6a386d26 4a650e56
6a386d26 4a650ea9
6a386d26 4a78a3a4
6a386d26 4a8b79c2
6a386d26 4a8b7a3f
6a386d26 4a8b7df1
6a386d26 4a8dc317
6a386d26 4a8dc36b
6a386d26 4a8dc470
6a386d26 4a91861e
6a386d26 4a9187d5
6a386d26 4a918aba
6a386d26 4a9ef0e5
6a386d26 4b09ed06
6a386d26 4b465151
6a386d26 4baaab9b
6a386d26 4bba30e2
6a386d26 4be0d7c2
6a386d26 4be0d7c3
6a386d26 4be0d7c4
6a386d26 4be0d7c5
6a386d26 4be0d7c6
6a386d26 4be0d7c7
6a386d26 4be0d7c8
6a386d26 4be0d7c9
6a386d26 4be0d7ca
6a386d26 4be0d7cb
6a386d26 4be0d7cc
6a386d26 4be0d7cd
6a386d26 4be0d7ce
6a386d26 4be0d7d1
6a386d26 4be0d7d2
6a386d26 4bf07570
6a386d26 4bf07571
6a386d26 4bf07572
6a386d26 4bf07573
6a386d26 4bf07574
6a386d26 4bf07575
6a386d26 4bf07576
6a386d26 4bf07577
6a386d26 4bf07578
6a386d26 4bf07579
6a386d26 4bf0757a
6a386d26 4bfc6ecd
6a386d26 4bfc6ecf
6a386d26 4c098aaf
6a386d26 4c098ab0
6a386d26 4c09903e
6a386d26 4c09903f
6a386d26 4c2a7de8
6a386d26 4c3cace9
6a386d26 4c759c3a
6a386d26 4d50ba18
6a386d26 4de67a6e
6a386d26 4e110215
6a386d26 4e8920f9
6a386d26 50658acb
6a386d26 5564aae9
6a386d26 561e640a
6a386d26 569ab1b2
6a386d26 60b9298d
6a386d26 61730da9
6a386d26 62d82695
6a386d26 64365d13
6a386d26 64893fbf
6a386d26 65b21d16
6a386d26 65d88585
6a386d26 67b10537
6a386d26 68b3e5fd
6a386d26 6a319f48
6a386d26 6a33ec03
6a386d26 6a35b1a6
6a386d26 6a35b1e8
6a386d26 6a35b751
6a386d26 6a3ed75e
6a386d26 6a454d30
6a386d26 6a4d3c64
6a386d26 6a8b7a14
6a386d26 6a8b7a23
6a386d26 6a8b7dcc
6a386d26 6a8dc401
6a386d26 6a8dc49e
6a386d26 6a918849
6a386d26 6a918952
6a386d26 6a91898c
6a386d26 6a918af1
6a386d26 6a918b51
6a386d26 6a9ab622
6a386d26 6ab29111
6a386d26 6ab7ea38
6a386d26 6ac7d52d
6a386d26 6b563f80
6a386d26 6b5de247
6a386d26 6bb2cc31
6a386d26 6c06c32f
6a386d26 6c06c330
6a386d26 6c098923
6a386d26 6c098924
6a386d26 6c2a7e4e
6a386d26 6c9fbbc7
6a386d26 6cc864ef
6a386d26 6e967dff
6a386d26 77a9feef
6a386d26 7c5d244f
6a386d26 7d6dc8bc
6a386d26 8157ca0e
6a386d26 83e040bb
6a386d26 84d42cd6
6a386d26 8a33e9b7
6a386d26 8a33f08a
6a386d26 8a35b060
6a386d26 8a35b147
6a386d26 8a35b60e
6a386d26 8a3ed771
6a386d26 8a3ed77b
6a386d26 8a4c0e76
6a386d26 8a4c0fbd
6a386d26 8a6f815d
6a386d26 8a8b7a4d
6a386d26 8a8b7a5a
6a386d26 8a8b7ddb
